team_code,team_name,club,age,opponent_code,opponent_name,pool_key,meetings_count,first_meeting_date,latest_meeting_date,first_result,latest_result,winner_changed,first_point_margin,latest_point_margin,point_margin_shift,point_margin_slope,performance_slope,win_rate
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14CAPIT1XL,CSVC 14 CASCADE,B14,1,2026-01-18,2026-01-18,L,L,False,-12.0,-12.0,0.0,0.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14COQUI1PU,BORINQUEN COQUI 14M Pirito,B14,1,2026-02-07,2026-02-07,L,L,False,-41.0,-41.0,0.0,0.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14CORE11GE,CORE Boys 14 Platinum,B14,1,2026-02-07,2026-02-07,L,L,False,-24.0,-24.0,0.0,0.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14HKJVB1NE,Husky 14.1,B14,1,2026-02-01,2026-02-01,W,W,False,14.0,14.0,0.0,0.0,0.0,1.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14LIFRY1GE,LI Fury 14 1,B14,1,2026-02-07,2026-02-07,W,W,False,11.0,11.0,0.0,0.0,0.0,1.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14NEVBC1NE,NEVBC Boys 14.1,B14,1,2026-01-31,2026-01-31,L,L,False,-13.0,-13.0,0.0,0.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14SAVBC1XL,Sporting Albany Boys 14u,B14,1,2026-02-01,2026-02-01,L,L,False,-19.0,-19.0,0.0,0.0,0.0,0.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,1,2026-01-31,2026-01-31,W,W,False,9.0,9.0,0.0,0.0,0.0,1.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14SPTMC2GE,Sportime 14 2,B14,1,2026-02-08,2026-02-08,W,W,False,-1.0,-1.0,0.0,0.0,0.0,1.0
B14MVPVA1NE,MVP BOS 14 Black,MVPVA,14,B14SPTMC3GE,Sportime 14 3,B14,1,2026-02-06,2026-02-06,W,W,False,6.0,6.0,0.0,0.0,0.0,1.0
B14NEVBC1NE,NEVBC Boys 14.1,NEVBC,14,B14SJJVB1NE,SMASH Boys 14-1,B14,2,2026-02-01,2026-03-15,L,W,True,-4.0,2.0,6.0,6.0,1.0,0.5
B14NEVBC1NE,NEVBC Boys 14.1,NEVBC,14,B14SJJVB2NE,SMASH Boys 14's Thunder,B14,2,2026-01-31,2026-03-14,W,W,False,17.0,26.0,9.0,9.0,0.0,1.0
B14NEVBC1NE,NEVBC Boys 14.1,NEVBC,14,B14RRJVB1NE,Boston United Boys 14-1,B14,3,2026-01-31,2026-03-14,W,W,False,10.0,14.0,4.0,2.0,0.0,1.0
B14NEVBC1NE,NEVBC Boys 14.1,NEVBC,14,B13SJJVB1NE,SMASH Boys 13-1,MIXED,1,2026-03-15,2026-03-15,W,W,False,18.0,18.0,0.0,0.0,0.0,1.0
