pool_key,team_code,team_name,local_rank,local_rating,wins,losses,matches_played,local_accuracy_pct,usav_national_accuracy_pct,usav_regional_accuracy_pct,local_picks_made,usav_national_picks_made,usav_regional_picks_made,event_name,model,local_edge_vs_usav_national_pp,local_edge_vs_usav_regional_pp,recommended_seed_source
B18,B18PVJVB4NE,PV Boys 18 4,53,-10.503314101996247,9,8,17,,,,,,,,,,,
B18,B18RRJVB2NE,Boston United Boys 18 Select 1,54,-11.494042789497279,6,16,22,,,,,,,,,,,
B18,B18NEVBC3NE,NEVBC Boys 18 Blue,55,-15.734324840290991,1,8,9,,,,,,,,,,,
B18,B18NESVC3NE,NE Storm 18 Tornado,56,-16.073421048790788,6,12,18,,,,,,,,,,,
B18,B18LHVBC3NE,LHV Boys 18-3 Thunder,57,-16.143035542014516,3,9,12,,,,,,,,,,,
B18,B18TTVBC2NE,SLAM 18 2 Boys,58,-16.67854684325578,1,4,5,,,,,,,,,,,
B18,B18TTVBC1NE,SLAM 18 1 Boys,59,-18.295898600267073,1,3,4,,,,,,,,,,,
B18,B18LCVBC5GE,Legacy Boys 18 Premier Billy,60,-18.60529305370295,0,7,7,,,,,,,,,,,
B18,B18GEVBC1NE,Generations vbc 18 1,61,-19.476975371583677,0,5,5,,,,,,,,,,,
B18,B18BVJVB2NE,Blast 18 Blaze,62,-22.357075178858533,2,18,20,,,,,,,,,,,
B18,B18SGHVB1NE,Starlings GH 18 1 Boys,63,-30.240845030267966,0,5,5,,,,,,,,,,,
G12,G12LIBER1CH,Libero 12 Huskies,1,36.35268164611561,8,0,8,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12GGVOL1GE,GG 12 1,2,27.610329596567038,6,1,7,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12NYCJR1GE,NYC Juniors 12 Blue,3,25.29875906510119,4,2,6,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12118021XX,NYCLBVC 12U BLUE,4,24.541970230265893,6,3,9,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12ROCKA1GE,RVT 12-1 Surf,5,23.48518970891711,5,2,7,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12NYCJR2GE,NYC Juniors 12 Orange,6,20.817704898480585,6,2,8,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12HKJVB1NE,Husky 12 Red,7,20.565825848540022,3,0,3,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12AVVBC1NE,Avidity 12 Ruby,8,16.81875267301049,12,0,12,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12LCVBC1GE,Legacy 12 Premier,9,16.292845058208854,6,3,9,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12MGJVB1NE,MGA 12's Black,10,16.255192975926047,5,0,5,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12GRVBC1NE,GVC 12-1,11,14.015991288794622,5,4,9,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12SJJVB1NE,SMASH 12s,12,13.560398117243112,5,0,5,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12ROCKA2GE,RVT 12-2 Swim,13,12.365377604267588,4,3,7,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12HKJVB2NE,Husky 12 Black,14,12.06582584853999,2,1,3,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
G12,G12CACLI2GE,CALI 12 Blue,15,10.706938019446302,3,4,7,86.95652173913044,66.66666666666666,55.55555555555556,46.0,9.0,9.0,AAUSpringKickOff26,massey,20.28985507246378,31.40096618357488,local
